[34m % [39m[2mCoverage report from [22m[33mv8[39m
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
All files          |   48.96 |    63.47 |   45.87 |   48.96 |                   
 frontend          |       0 |        0 |       0 |       0 |                   
  eslint.config.js |       0 |        0 |       0 |       0 | 1-23              
  ...ght.config.ts |       0 |        0 |       0 |       0 | 1-84              
  vite.config.ts   |       0 |        0 |       0 |       0 | 1-73              
  vitest.config.ts |       0 |        0 |       0 |       0 | 1-44              
  vitest.setup.ts  |       0 |        0 |       0 |       0 | 1-37              
 ...blic/assets/js |       0 |        0 |       0 |       0 |                   
  script.js        |       0 |        0 |       0 |       0 | 1-488             
  theme.js         |       0 |        0 |       0 |       0 | 1-322             
 ...s/js/dashboard |       0 |        0 |       0 |       0 |                   
  ...rd-default.js |       0 |        0 |       0 |       0 | 1-145             
 ...ets/js/plugins |       0 |        0 |       0 |       0 |                   
  ...charts.min.js |       0 |        0 |       0 |       0 | 1-14              
  bootstrap.min.js |       0 |        0 |       0 |       0 | 1-7               
  ...tormap.min.js |       0 |        0 |       0 |       0 | 1                 
  popper.min.js    |       0 |        0 |       0 |       0 | 1-6               
  simplebar.min.js |       0 |        0 |       0 |       0 | 1-10              
  world-merc.js    |       0 |        0 |       0 |       0 | 1                 
  world.js         |       0 |        0 |       0 |       0 | 1                 
 frontend/src      |       0 |        0 |       0 |       0 |                   
  App.tsx          |       0 |        0 |       0 |       0 | 1-151             
  main.tsx         |       0 |        0 |       0 |       0 | 1-10              
 .../src/__mocks__ |   70.13 |        0 |       0 |   70.13 |                   
  apiFixtures.ts   |     100 |      100 |     100 |     100 |                   
  storeHelpers.ts  |       0 |        0 |       0 |       0 | 1-97              
 ...src/components |   54.08 |    68.15 |   60.46 |   54.08 |                   
  Alert.tsx        |   85.24 |    16.66 |       0 |   85.24 | 41-43,66-72       
  Badge.tsx        |     100 |      100 |     100 |     100 |                   
  Button.tsx       |     100 |      100 |     100 |     100 |                   
  Card.tsx         |      40 |      100 |     100 |      40 | 12-25             
  ChartCard.tsx    |    11.9 |      100 |       0 |    11.9 | 16-57             
  Header.tsx       |    4.71 |      100 |       0 |    4.71 | 12-139            
  Input.tsx        |    87.5 |    86.66 |     100 |    87.5 | 29-31,54-56       
  MainLayout.tsx   |   17.94 |      100 |       0 |   17.94 | 14-57             
  MobileCard.tsx   |       0 |        0 |       0 |       0 | 1-21              
  Modal.tsx        |   72.22 |       90 |   66.66 |   72.22 | 32-58,119-121     
  ...onCreator.tsx |       0 |      100 |     100 |       0 | 3-187             
  Select.tsx       |   97.61 |    33.33 |     100 |   97.61 | 57                
