Name                                                     Stmts   Miss  Cover
----------------------------------------------------------------------------
services/api-gateway/src/__init__.py                         0      0   100%
services/api-gateway/src/config.py                          18      0   100%
services/api-gateway/src/main.py                           262    162    38%
services/api-gateway/src/models/__init__.py                  0      0   100%
services/api-gateway/src/models/health.py                   12      0   100%
services/api-gateway/src/websocket_manager.py               70     32    54%
services/data-ingestion-web/src/__init__.py                  0      0   100%
services/data-ingestion-web/src/config.py                   15      0   100%
services/data-ingestion-web/src/database.py                 22     22     0%
services/data-ingestion-web/src/db.py                       28     10    64%
services/data-ingestion-web/src/main.py                     49     15    69%
services/data-ingestion-web/src/models/__init__.py           0      0   100%
services/data-ingestion-web/src/models/health.py            12      0   100%
services/data-ingestion-web/src/models/session.py           64      0   100%
services/data-ingestion-web/src/repository.py               65     65     0%
services/data-ingestion-web/src/routers/__init__.py          0      0   100%
services/data-ingestion-web/src/routers/sessions.py        110     82    25%
services/data-ingestion-web/src/tasks.py                    32     32     0%
services/inference/src/__init__.py                           0      0   100%
services/inference/src/config.py                            14      0   100%
services/inference/src/main.py                              30      4    87%
services/inference/src/models/__init__.py                    0      0   100%
services/inference/src/models/health.py                     12      0   100%
services/inference/src/models/onnx_loader.py                90      8    91%
services/inference/src/models/schemas.py                    66     66     0%
services/inference/src/routers/__init__.py                   1      0   100%
services/inference/src/routers/analytics.py                160    115    28%
services/inference/src/routers/model_metadata.py           233    233     0%
services/inference/src/routers/predict.py                   63     45    29%
services/inference/src/utils/__init__.py                     3      0   100%
services/inference/src/utils/batch_predictor.py            168     95    43%
services/inference/src/utils/cache.py                      133     96    28%
services/inference/src/utils/metrics.py                     83     46    45%
services/inference/src/utils/model_versioning.py           203    109    46%
services/inference/src/utils/preprocessing.py              122     86    30%
services/inference/src/utils/uncertainty.py                 56      9    84%
services/rf-acquisition/src/__init__.py                      0      0   100%
services/rf-acquisition/src/config.py                       24      0   100%
services/rf-acquisition/src/fetchers/__init__.py             2      0   100%
services/rf-acquisition/src/fetchers/websdr_fetcher.py     101     29    71%
services/rf-acquisition/src/main.py                         42     10    76%
services/rf-acquisition/src/models/__init__.py               5      2    60%
services/rf-acquisition/src/models/db.py                    50      3    94%
services/rf-acquisition/src/models/health.py                12      0   100%
services/rf-acquisition/src/models/websdrs.py               65      0   100%
services/rf-acquisition/src/processors/__init__.py           2      0   100%
services/rf-acquisition/src/processors/iq_processor.py      72     15    79%
services/rf-acquisition/src/routers/__init__.py              2      0   100%
services/rf-acquisition/src/routers/acquisition.py          92     48    48%
services/rf-acquisition/src/storage/__init__.py              2      0   100%
services/rf-acquisition/src/storage/db_manager.py          169     75    56%
services/rf-acquisition/src/storage/minio_client.py        109     30    72%
services/rf-acquisition/src/tasks/__init__.py                3      0   100%
services/rf-acquisition/src/tasks/acquire_iq.py            145    118    19%
services/rf-acquisition/src/tasks/uptime_monitor.py         94     77    18%
services/rf-acquisition/src/utils/__init__.py                0      0   100%
services/training/src/__init__.py                            0      0   100%
services/training/src/config.py                              2      2     0%
services/training/src/config/__init__.py                     3      0   100%
services/training/src/config/model_config.py                67     30    55%
services/training/src/config/settings.py                    41      4    90%
services/training/src/data/__init__.py                       3      0   100%
services/training/src/data/dataset.py                      142    118    17%
services/training/src/data/features.py                     101     35    65%
services/training/src/main.py                               22      2    91%
services/training/src/mlflow_setup.py                      125    125     0%
services/training/src/models/__init__.py                     0      0   100%
services/training/src/models/health.py                      12      0   100%
services/training/src/models/lightning_module.py           121    121     0%
services/training/src/models/localization_net.py            62     62     0%
services/training/src/onnx_export.py                       156    156     0%
services/training/src/train.py                             149    149     0%
services/training/src/utils/__init__.py                      2      2     0%
services/training/src/utils/losses.py                       96     96     0%
----------------------------------------------------------------------------
TOTAL                                                     4291   2641    38%
